NAME,SMILES
377,[*:1]CC(=O)NCCCCC(=O)[*:2]
378,[*:1]CC(=O)NCCCCCC(=O)[*:2]
379,[*:1]CC(=O)NCCCCCCC(=O)[*:2]
380,[*:1]CC(=O)NCCCCCCCC(=O)[*:2]
381,[*:1]CC1=CN(N=N1)CCOCC(=O)[*:2]
382,[*:1]CC1=CN(N=N1)CCOCCOCC(=O)[*:2]
383,[*:1]CC1=CN(N=N1)CCOCCOCCOCC(=O)[*:2]
384,[*:1]CC1=CN(N=N1)CCOCCOCCOCCOCC(=O)[*:2]
385,[*:1]CC1=CC=C(C=C1)CC[*:2]
386,[*:1]CC1=CC=C(C=C1)OCC[*:2]
387,[*:1]CCCCCCNC(=O)C[*:2]
388,[*:1]CCCC(=O)NCCCCO[*:2]
389,[*:1]C(=O)CCOCCOCCNC(=O)C[*:2]
390,[*:1]C(=O)CCCC(=O)NCCCCC(=O)[*:2]
391,[*:1]C(=O)CCOCCOCCOCCOCCNC(=O)C[*:2]
392,[*:1]NCCOCCOCCNC(=O)C[*:2]
393,[*:1]C#CCOCCOCCOCC[*:2]
394,[*:1]C#CCCCCCCCCCC[*:2]
395,[*:1]C#CCOCCOCCOCCO[*:2]
396,[*:1]C#CCCCCCCCCCCO[*:2]
397,[*:1]C#CCOCCOCCOCCC(=O)[*:2]
398,[*:1]C#CCCCCCCCCCCC(=O)[*:2]
399,[*:1]C#CCN1CCC2(CC1)CCN(CC2)C3=NC=C(C=N3)[*:2]
400,[*:1]=NOCC(=O)NCCOCCOCCOC[*:2]
401,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OC[*:2]
402,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCC[*:2]
403,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCC[*:2]
404,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCC[*:2]
405,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCCC[*:2]
406,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCCCC[*:2]
407,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOC[*:2]
408,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOC[*:2]
409,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOC[*:2]
410,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOC[*:2]
411,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOC[*:2]
412,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOC[*:2]
413,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCC(=O)NCC#C[*:2]
414,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCC(=O)NCC#C[*:2]
415,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCC(=O)NCC#C[*:2]
416,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCCC(=O)NCC#C[*:2]
417,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCCCC(=O)NCC#C[*:2]
418,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCCCCCCC(=O)NCC#C[*:2]
419,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCC(=O)NCC#C[*:2]
420,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCC(=O)NCC#C[*:2]
421,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCC(=O)NCC#C[*:2]
422,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCC(=O)NCC#C[*:2]
423,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCC(=O)NCC#C[*:2]
424,[*:1]C(=O)N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOCC(=O)NCC#C[*:2]
425,[*:1]N/N=C/C1=CC=C(C=C1)OC[*:2]
426,[*:1]N/N=C/C1=CC=C(C=C1)OCCC[*:2]
427,[*:1]N/N=C/C1=CC=C(C=C1)OCCCC[*:2]
428,[*:1]N/N=C/C1=CC=C(C=C1)OCCCCC[*:2]
429,[*:1]N/N=C/C1=CC=C(C=C1)OCCCCCC[*:2]
430,[*:1]N/N=C/C1=CC=C(C=C1)OCCCCCCC[*:2]
431,[*:1]N/N=C/C1=CC=C(C=C1)OCCOC[*:2]
432,[*:1]N/N=C/C1=CC=C(C=C1)OCCOCCOC[*:2]
433,[*:1]N/N=C/C1=CC=C(C=C1)OCCOCCOCCOC[*:2]
434,[*:1]N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOC[*:2]
435,[*:1]N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOC[*:2]
436,[*:1]N/N=C/C1=CC=C(C=C1)OCCOCCOCCOCCOCCOCCOC[*:2]
437,[*:1]C(=O)NCCC1=CC=C(C=C1)OCCC[*:2]
438,[*:1]C(=O)NCCC1=CC=C(C=C1)OCCCC[*:2]
439,[*:1]C(=O)NCCC1=CC=C(C=C1)OCCCCC[*:2]
440,[*:1]CCOCCOCCOCC(=O)NCC[*:2]
441,[*:1]CCCCCCOCCOCCOC[*:2]
